time,EG_point,AE_point,EGnorm,AEnorm,diffnorm,Var7
3.03074585,442.578852180704,342.040288614652,0.485885593893852,0.628622743848487,0.462572376793584,55299.3222891566
3.03474585,442.670262567721,342.032920320311,0.487364227911439,0.628374066999769,0.465110882529595,55232.2681603507
3.03874585,442.753908380584,342.026637491798,0.488717263910563,0.628162024168234,0.467421951768689,56218.0489646497
3.04274585,442.831102796943,342.021192365856,0.489965943559791,0.627978253447703,0.469545699011195,55653.2825062259
3.04674585,442.903227749067,342.016419975313,0.491132620687058,0.627817187265198,0.47152187790689,55528.2306549333
3.05074585,442.971678769356,342.012232076578,0.492239869112983,0.627675847436471,0.473388619900861,55224.6932066687
3.05474585,443.037803690759,342.008605164063,0.493309491082514,0.627553440657769,0.475181166916714,54874.7922546262
3.05874585,443.10284079552,342.00556441842,0.494361516772845,0.627450816765556,0.476930694358972,54784.3288416813
3.06274585,443.167863601699,342.003165225463,0.495413311172505,0.62736984500786,0.478663367129929,54997.106829413
3.06674585,443.233739121955,342.001473708141,0.496478898884748,0.627312757006524,0.480399767232654,54898.8176522705
3.07074585,443.301103937964,342.000547648176,0.497568577112681,0.627281502870469,0.482154769202654,54416.7099998515
3.07474585,443.37035888555,342.000419254164,0.498688829687126,0.627277169626326,0.483937846362712,54443.6960193452
3.07874585,443.441680117882,342.001081300364,0.499842506022429,0.627299513408359,0.485753711353337,54557.8473543271
3.08274585,443.515042609128,342.002478055165,0.501029201306314,0.627346653298037,0.487603153279978,54330.0945523904
3.08674585,443.590251543103,342.004502055549,0.502245764235658,0.627414962463497,0.489483927260319,54362.1707667864
3.09074585,443.666977193043,342.006997096218,0.503486861223921,0.62749916904134,0.491391573979544,54362.6346390406
3.09474585,443.74478994613,342.009766882572,0.504745542950048,0.627592648171008,0.493320097410714,54347.7444732621
3.09874585,443.823193715318,342.012588078839,0.506013784820709,0.627687862363711,0.495262488139814,54122.5689691202
3.10274585,443.901657061358,342.015226385701,0.507282990393232,0.627776904115579,0.497211109990606,54127.0777428833
3.10674585,443.97964155104,342.017454612021,0.508544450092188,0.627852105820865,0.499157964376991,53915.2414129691
3.11074585,444.056627140215,342.019071789403,0.509789751799498,0.627906684880353,0.501094851395734,53849.0078327421
3.11474585,444.132135351984,342.019921884563,0.511011155779639,0.627935375236048,0.503013484593161,54125.756921405
3.11874585,444.20575171532,342.01990995984,0.512201957641788,0.627934972781639,0.50490565230588,53779.9511317593
3.12274585,444.277147777508,342.019013299656,0.513356844408138,0.627904710875884,0.506763497418713,53645.3473712958
3.12674585,444.346100189891,342.01728535588,0.514472203240665,0.627846393496977,0.508579906456234,53491.6477015809
3.13074585,444.412502289821,342.014851333506,0.515546308788183,0.627764246261041,0.510348920669739,53534.3959253418
3.13474585,444.476364566802,342.011895595223,0.516579330726566,0.627664491331632,0.512066071705616,53598.006879983
3.13874585,444.537804047286,342.008642447978,0.517573162049582,0.627554698974289,0.513728602570677,53284.4564796699
3.14274585,444.597026226963,342.005332947639,0.518531126809645,0.627443004723618,0.515335599406643,53179.6250308417
3.14674585,444.654304320369,342.002200932742,0.519457644464109,0.6273373005323,0.516888074134305,53141.0562309324
3.15074585,444.709959212869,341.999451507048,0.520357905583016,0.62724450856638,0.518389002216207,53318.575484084
3.15474585,444.764341373877,341.997244604745,0.521237579281382,0.62717002653774,0.519843280202464,53570.2382304004
3.15874585,444.817814705645,341.995685238115,0.522102551960812,0.627117398566925,0.521257561286507,52939.3955482266
3.16274585,444.870741910737,341.994820924078,0.522958690617027,0.627088228330085,0.522639945399968,53438.6048578335
3.16674585,444.92347065901,341.994645860237,0.523811619080033,0.627082319998754,0.523999516399114,53416.8591726477
3.17074585,444.976319448598,341.995110590064,0.524666489304558,0.627098004435822,0.525345730322511,53441.0159292242
3.17474585,445.029562401064,341.996135162349,0.52552773541982,0.627132583321427,0.526687686459121,52748.2009204864
3.17874585,445.083413830248,341.997623506527,0.526398824118659,0.627182814314228,0.5280333613539,53073.5630213233
3.18274585,445.138015233582,341.99947717184,0.527282044231956,0.627245374742364,0.529388921416934,53288.2035144147
3.18674585,445.193427634389,342.001607401275,0.528178382859361,0.627317269093815,0.530758215841555,52615.5272812257
3.19074585,445.24963072442,342.003945102837,0.529087511499171,0.627396165542678,0.532142498317502,52614.0276843056
