time,EG_point,AE_point,EGnorm,AEnorm,diffnorm,Var7
0.54619,443.010203892129,393.570787370592,0.537719502082588,0.826295431455445,0.422486401620837,31250
0.55019,443.357305012257,393.418658145837,0.551493889821818,0.803448901278212,0.444897541969085,31334.8462764836
0.55419,443.654650415188,393.272797016987,0.563293767825495,0.78154370398739,0.464793695896455,30983.3213761372
0.55819,443.900789396203,393.135821745279,0.573061566215169,0.760972970890887,0.481992224341684,30881.8429173573
0.56219,444.096407384321,393.00982650753,0.580824485609128,0.742051202203406,0.496429886668577,31079.018135845
0.56619,444.244153798986,392.896383092154,0.586687665773821,0.725014446662375,0.508155059223858,31073.0894893617
0.57019,444.348368355721,392.796578028518,0.590823324316238,0.710025877556913,0.517313782031467,30882.1689951654
0.57419,444.414733663488,392.711076122355,0.59345697033063,0.697185334377186,0.524131311215278,30955.1859293914
0.57819,444.449883324694,392.640199037246,0.594851852208785,0.686541124059117,0.528890998435192,31026.3666112218
0.58219,444.460993909344,392.584003464452,0.595292765510714,0.678101760408027,0.531912464890988,30858.2779576569
0.58619,444.455386528093,392.542344244196,0.595070241758776,0.671845443554563,0.533530881784184,31010.3367177257
0.59019,444.440159898706,392.514916362638,0.594465987018656,0.667726366995006,0.534078612861892,31098.5470035711
0.59419,444.421872389639,392.501279193909,0.593740264092206,0.665678358222192,0.533869852655208,30978.0878387667
0.59819,444.406285589663,392.500868343076,0.593121716314532,0.665616657283598,0.533188583318022,30846.1649427561
0.60219,444.398176453349,392.512995937188,0.592799912720875,0.667437960490158,0.532280128512707,30857.1416422414
0.60619,444.401219672086,392.53683793776,0.592920680048975,0.671018515024841,0.531346442442629,30864.162517325
0.61019,444.417937652135,392.571411944017,0.593584117664293,0.676210785468403,0.530544860740896,30851.0317208775
0.61419,444.449712793548,392.615556117708,0.594845084837577,0.682840288760793,0.52998959778223,30875.6697431529
0.61819,444.496855320983,392.667921263555,0.596715892548189,0.69070440485522,0.529755147221651,30847.8724817325
0.62219,444.558719025934,392.726982268852,0.599170896607716,0.699574094699423,0.529880964283743,30669.4696009876
0.62619,444.633856140081,392.791067832286,0.602152643665996,0.709198364863673,0.530377083673585,30797.1251529083
0.63019,444.720200555601,392.858404665967,0.605579142140135,0.71931090573286,0.53123036029958,30805.4556723384
0.63419,444.815266047121,392.927174262456,0.60935172846983,0.729638616690389,0.532410819380567,30649.707029258
0.63819,444.916344606197,392.995581874973,0.61336293783822,0.739911965458454,0.533877463337908,30666.1704329899
0.64219,445.020691099791,393.061934646837,0.617503832173171,0.749876721455702,0.535583054031205,30516.4587885873
0.64619,445.125683950194,393.124720719299,0.621670376581799,0.759305836088493,0.5374777746422,30440.8236430789
0.65019,445.228955228525,393.182678962872,0.625768601990963,0.76800991489349,0.539511939415988,30492.4795719611
0.65419,445.328485870884,393.234851920479,0.629718383712444,0.775845168457189,0.541637891354652,30450.1136300177
0.65819,445.422663582937,393.280619082749,0.633455739333001,0.782718409648107,0.543811107860105,30276.0032926761
0.66219,445.51030440172,393.319709321849,0.636933684374654,0.788588920910305,0.545990610501356,30413.3476979941
0.66619,445.590643832679,393.352190830199,0.640121880576297,0.793466943275272,0.548139018808984,30411.643797995
0.67019,445.663307233716,393.378438448472,0.643005460611896,0.797408769731834,0.550222687465265,30249.6571059395
0.67419,445.728269156546,393.399082781059,0.645583414589735,0.800509103465849,0.552212165358611,30273.4375
0.67819,445.785808398579,393.414948780039,0.64786680632783,0.802891834496476,0.55408293485089,30276.6612375806
